brand,model,generation,years,unit_type,issue_description,cost_min_usd,cost_mean_usd,cost_max_usd,issue_probability_pct,issue_price_impact_pct,model_risk_score,generation_avg_cost_usd
Alfa Romeo,156,932,1997-2003,двигатель,1.6/1.8/2.0 TS масложор/фазовращатели,200,400,700,40,10,0.65,420
Alfa Romeo,156,932,1997-2003,двигатель,2.4 JTD износ ТНВД/форсунок,300,600,900,30,8,0.65,420
Alfa Romeo,156,932,1997-2003,электрика,Сбои блока комфорта/датчиков,120,250,450,30,5,0.65,420
Alfa Romeo,156,932,1997-2003,трансмиссия,МКПП — износ синхронизаторов,200,350,600,25,5,0.65,420
Alfa Romeo,156,932,1997-2003,охлаждение,Помпа/термостат,150,250,400,30,4,0.65,420
Alfa Romeo,156,932 рестайлинг,2003-2005,подвеска,Износ задних амортизаторов,150,250,450,30,4,0.60,390
Alfa Romeo,156,932 рестайлинг,2003-2005,двигатель,TS — течи масла/фазовращатели,200,400,700,35,8,0.60,390
Alfa Romeo,156,932 рестайлинг,2003-2005,двигатель,2.4 JTD — износ турбины,300,700,1200,30,9,0.60,390
Alfa Romeo,156,932 рестайлинг,2003-2005,электрика,Сбои блока ABS/ESP,150,300,600,25,5,0.60,390
Alfa Romeo,156,932 рестайлинг,2003-2005,трансмиссия,МКПП — износ сцепления,250,400,700,25,6,0.60,390
Alfa Romeo,159,939,2005-2011,подвеска,Износ передних рычагов (частая проблема),180,350,600,45,7,0.65,480
Alfa Romeo,159,939,2005-2011,двигатель,1.9/2.2/3.2 JTS — масложор/цепь,300,600,1200,40,10,0.65,480
Alfa Romeo,159,939,2005-2011,двигатель,1.9/2.4 JTDm — износ ТНВД/форсунок,350,700,1200,35,9,0.65,480
Alfa Romeo,159,939,2005-2011,электрика,Сбои блока комфорта/датчиков,150,300,600,30,5,0.65,480
Alfa Romeo,159,939,2005-2011,трансмиссия,МКПП/М32 — износ подшипников,300,600,900,30,8,0.65,480
Alfa Romeo,159,939,2005-2011,трансмиссия,АКПП Aisin — перегрев/гидроблок,500,900,1500,25,8,0.65,480
Alfa Romeo,159,939,2005-2011,охлаждение,Помпа/термостат,150,250,400,30,4,0.65,480
Alfa Romeo,166,936,1998-2003,подвеска,Износ передних рычагов (частая проблема),180,350,600,45,7,0.65,480
Alfa Romeo,166,936,1998-2003,двигатель,2.0/2.5/3.0 V6 — течи масла/ГРМ,300,600,1200,40,9,0.65,480
Alfa Romeo,166,936,1998-2003,двигатель,2.4 JTD — износ ТНВД/форсунок,350,700,1200,35,9,0.65,480
Alfa Romeo,166,936,1998-2003,электрика,Сбои блока комфорта/ABS/датчиков,150,300,600,30,5,0.65,480
Alfa Romeo,166,936,1998-2003,трансмиссия,АКПП Aisin — перегрев/гидроблок,600,1000,1500,30,8,0.65,480
Alfa Romeo,166,936,1998-2003,охлаждение,Помпа/термостат,150,250,400,30,4,0.65,480
Alfa Romeo,166,936 рестайлинг,2003-2007,подвеска,Износ задних амортизаторов,150,250,450,30,4,0.60,450
Alfa Romeo,166,936 рестайлинг,2003-2007,двигатель,3.2 V6 — течи масла/ГРМ,350,700,1300,35,9,0.60,450
Alfa Romeo,166,936 рестайлинг,2003-2007,двигатель,2.4 JTD — износ турбины,350,800,1300,30,9,0.60,450
Alfa Romeo,166,936 рестайлинг,2003-2007,электрика,Сбои блока ABS/ESP,150,300,600,25,5,0.60,450
Alfa Romeo,166  ,936 рестайлинг,2003-2007,трансмиссия,АКПП Aisin — износ гидроблока,600,1000,1500,25,8,0.60,450
Alfa Romeo,Giulietta,940,2010-2016,подвеска,Износ передних рычагов,150,300,500,40,6,0.60,420
Alfa Romeo,Giulietta,940,2010-2016,двигатель,1.4 T‑Jet/Multiair — масложор/модуль Multiair,300,600,1000,35,10,0.60,420
Alfa Romeo,Giulietta,940,2010-2016,двигатель,1.6/2.0 JTDm — износ ТНВД/форсунок,350,700,1200,30,9,0.60,420
Alfa Romeo,Giulietta,940,2010-2016,электрика,Сбои блока комфорта/датчиков,150,300,600,30,5,0.60,420
Alfa Romeo,Giulietta,940,2010-2016,трансмиссия,TCT — износ мехатроника,600,1100,1800,25,8,0.60,420
Alfa Romeo,Giulietta,940,2010-2016,охлаждение,Помпа/термостат,150,250,400,30,4,0.60,420
Alfa Romeo,Giulietta,940 рестайлинг,2016-2020,подвеска,Износ задних амортизаторов,150,250,450,30,4,0.55,390
Alfa Romeo,Giulietta,940 рестайлинг,2016-2020,двигатель,1.4 T‑Jet/Multiair — течи масла/Multiair,300,550,900,30,8,0.55,390
Alfa Romeo,Giulietta,940 рестайлинг,2016-2020,двигатель,1.6/2.0 JTDm — износ турбины,350,800,1300,25,9,0.55,390
Alfa Romeo,Giulietta,940 рестайлинг,2016-2020,электрика,Сбои блока ABS/ESP,150,300,600,25,5,0.55,390
Alfa Romeo,Giulietta,940 рестайлинг,2016-2020,трансмиссия,TCT — износ сцеплений,600,1000,1600,25,8,0.55,390
Alfa Romeo,MiTo,955,2008-2013,подвеска,Износ передних рычагов,120,250,450,40,6,0.60,380
Alfa Romeo,MiTo,955,2008-2013,двигатель,1.4 T‑Jet — масложор/турбина,300,600,1000,35,10,0.60,380
Alfa Romeo,MiTo,955,2008-2013,двигатель,1.4 Multiair — выход из строя модуля Multiair,400,700,1200,30,12,0.60,380
Alfa Romeo,MiTo,955,2008-2013,электрика,Сбои блока комфорта/датчиков,120,250,450,30,5,0.60,380
Alfa Romeo,MiTo,955,2008-2013,трансмиссия,TCT — износ мехатроника,600,1100,1800,25,8,0.60,380
Alfa Romeo,MiTo,955,2008-2013,охлаждение,Помпа/термостат,120,200,350,30,4,0.60,380
Alfa Romeo,MiTo,955 рестайлинг,2013-2018,подвеска,Износ задних амортизаторов,120,200,350,30,4,0.55,350
Alfa Romeo,MiTo,955 рестайлинг,2013-2018,двигатель,1.4 T‑Jet — течи масла/турбина,300,550,900,30,8,0.55,350
Alfa Romeo,MiTo,955 рестайлинг,2013-2018,двигатель,1.4 Multiair — модуль Multiair (частые отказы),400,700,1200,25,12,0.55,350
Alfa Romeo,MiTo,955 рестайлинг,2013-2018,электрика,Сбои блока ABS/ESP,150,300,600,25,5,0.55,350
Alfa Romeo,MiTo,955 рестайлинг,2013-2018,трансмиссия,TCT — износ сцеплений,600,1000,1600,25,8,0.55,350
Alfa Romeo,Giulia,952,2016-2020,подвеска,Износ передних рычагов,200,400,700,35,6,0.55,500
Alfa Romeo,Giulia,952,2016-2020,двигатель,2.0T — течи антифриза/масла,300,600,1000,30,7,0.55,500
Alfa Romeo,Giulia,952,2016-2020,двигатель,2.2 JTDm — износ ТНВД/форсунок,400,800,1300,30,9,0.55,500
Alfa Romeo,Giulia,952,2016-2020,электроника,Сбои блока MIB/датчиков ADAS,250,500,900,25,5,0.55,500
Alfa Romeo,Giulia,952,2016-2020,трансмиссия,8HP — износ гидроблока,700,1200,2000,25,8,0.55,500
Alfa Romeo,Giulia,952,2016-2020,тормоза,Износ передних суппортов Brembo,200,400,700,30,5,0.55,500
Alfa Romeo,Giulia,952 рестайлинг,2020-наст,подвеска,Износ задних амортизаторов,180,300,500,30,4,0.50,470
Alfa Romeo,Giulia,952 рестайлинг,2020-наст,двигатель,2.0T — течи масла/охлаждение,300,550,900,25,6,0.50,470
Alfa Romeo,Giulia,952 рестайлинг,2020-наст,двигатель,2.2 JTDm — износ турбины,400,800,1300,25,9,0.50,470
Alfa Romeo,Giulia,952 рестайлинг,2020-наст,электроника,Сбои блока HU-H4/ADAS,250,500,900,20,4,0.50,470
Alfa Romeo,Giulia,952 рестайлинг,2020-наст,трансмиссия,8HP — износ мехатроника,700,1200,2000,25,8,0.50,470
Alfa Romeo,Stelvio,949,2017-2020,подвеска,Износ передних рычагов,200,400,700,35,6,0.55,520
Alfa Romeo,Stelvio,949,2017-2020,двигатель,2.0T — течи антифриза/масла,300,600,1000,30,7,0.55,520
Alfa Romeo,Stelvio,949,2017-2020,двигатель,2.2 JTDm — износ ТНВД/форсунок,400,800,1300,30,9,0.55,520
Alfa Romeo,Stelvio,949,2017-2020,электроника,Сбои блока MIB/датчиков ADAS,250,500,900,25,5,0.55,520
Alfa Romeo,Stelvio,949,2017-2020,трансмиссия,8HP — износ гидроблока,700,1200,2000,25,8,0.55,520
Alfa Romeo,Stelvio,949,2017-2020,тормоза,Износ передних суппортов Brembo,200,400,700,30,5,0.55,520
Alfa Romeo,Stelvio,949 рестайлинг,2020-наст,подвеска,Износ задних амортизаторов,180,300,500,30,4,0.50,490
Alfa Romeo,Stelvio,949 рестайлинг,2020-наст,двигатель,2.0T — течи масла/охлаждение,300,550,900,25,6,0.50,490
Alfa Romeo,Stelvio,949 рестайлинг,2020-наст,двигатель,2.2 JTDm — износ турбины,400,800,1300,25,9,0.50,490
Alfa Romeo,Stelvio,949 рестайлинг,2020-наст,электроника,Сбои блока HU-H4/ADAS,250,500,900,20,4,0.50,490
Alfa Romeo,Stelvio,949 рестайлинг,2020-наст,трансмиссия,8HP — износ мехатроника,700,1200,2000,25,8,0.50,490
